id,title,description
1,Python Notes,"Comprehensive notes covering Python basics with examples."
2,Data Science Cheatsheet,"Quick reference guide for statistics pandas and visualization tools."
3,Machine Learning Ebook,"An introductory ebook on machine learning concepts and algorithms."
4,Flask Tutorial PDF,"Step by step guide to building web apps with Flask."
5,Deep Learning Slides,"Presentation slides explaining neural networks and TensorFlow basics."
6,Java Handbook,"A quick reference guide for Java programming."
7,React Notes,"Study notes covering React components, state, and hooks."
8,Node.js Guide,"A tutorial covering server-side programming with Node.js."
9,Cybersecurity Reference,"Guidebook covering ethical hacking and cryptography."
10,Blockchain Whitepaper,"Technical details about blockchain and distributed ledger technology."
11,AWS Cloud Notes,"Study material on AWS services and cloud basics."
12,DevOps Quick Guide,"Cheatsheet for Docker, CI/CD, and Kubernetes."
13,Kotlin Notes,"Reference notes for Android app development with Kotlin."
14,AI Handbook,"Study material on AI basics and search algorithms."
15,NLP Notes,"Comprehensive guide on natural language processing."
16,Tableau Reference,"Cheatsheet for creating dashboards and charts."
17,Hadoop Guide,"Notes on Hadoop architecture and ecosystem."
18,Statistics Workbook,"Practice problems and formulas for statistics."
19,SQL Notes,"Reference material for SQL queries and joins."
20,OpenCV Notes,"Practical notes for computer vision using OpenCV."
21,Unity Game Dev Guide,"Study material for Unity game development."
22,AR/VR Notes,"Handbook for AR/VR development basics."
23,IoT Notes,"Comprehensive IoT reference notes."
24,Arduino Projects,"Collection of Arduino projects and examples."
25,ROS Guide,"Reference manual for Robot Operating System."
26,Marketing Notes,"Study material for digital marketing basics."
27,Finance Workbook,"Practice problems for finance and accounting."
28,Business Analytics Guide,"Notes on analytics tools and decision making."
29,Entrepreneurship Notes,"Study material on business startups."
30,Communication Skills PDF,"Guide to professional communication."
31,Graphic Design Handbook,"Notes on design principles, typography, and layouts."
32,UI/UX Cheatsheet,"Quick guide for prototyping and usability design."
33,Photography Guide,"Reference notes for lighting, composition, and photo editing."
34,Video Editing Notes,"Step by step tutorial for Premiere Pro and video workflows."
35,Music Production Notes,"Handbook for audio mixing and production basics."
36,Ethical Hacking Manual,"Advanced hacking and penetration testing notes."
37,Digital Forensics Notes,"Study guide for investigating cyber crimes."
38,Azure Cloud Reference,"Quick guide for Microsoft Azure services."
39,Google Cloud Notes,"Reference notes for Google Cloud development."
40,Agile Project Guide,"Handbook for Agile, Scrum, and Kanban processes."
41,HR Management Notes,"Study material for HR concepts and payroll systems."
42,Leadership Notes,"Key points on leadership and motivation."
43,Time Management Guide,"Study material for productivity and time tracking."
